protein,pog
human0|p287,0
human1777|p1674,0
human3252|p4712,0
human2569|p233,0
human1344|p1925,0
human1375|p2004,0
human1705|p1920,0
human1710|p1868,0
human3433|p767,0
human3416|p875,0
human31|p1942,0
human35|p1647,0
human587|p771,0
human1642|p1380,0
human1047|p640,0
human2658|p2181,0
human2663|p2143,0
human2670|p1933,0
human90|p749,0
human1126|p1539,0
human1652|p676,0
human1660|p2116,0
human2180|p1100,0
human2262|p289,0
human2940|p862,0
human2952|p866,0
human2959|p864,0
human2978|p1196,0
human1337|p1496,0
human1948|p1274,0
human2207|p321,0
human721|p57,0
human42|p1373,0
human2406|p1111,0
human2433|p1794,0
human2434|p1753,0
human2704|p28,0
human1173|p1845,0
human2236|p355,0
human896|p128,0
human1341|p1627,0
human1222|p830,0
human2883|p1420,0
human904|p812,0
human1928|p803,0
human2527|p762,0
human2543|p1233,0
human465|p2051,0
human200|p1666,0
human354|p511,0
human2408|p615,0
human720|p1949,0
human2336|p1462,0
human2535|p2219,0
human1060|p681,0
human1061|p1976,0
human2438|p340,0
human259|p637,0
human413|p311,0
human1907|p1445,0
human2449|p1186,0
human2683|p143,0
human2929|p2435,0
human2936|p2281,0
human2937|p2207,0
human2948|p2100,0
human2965|p2297,0
human2967|p2186,0
human3024|p619,0
human3278|p2054,0
human711|p580,0
human907|p1372,0
human12|p1306,0
human404|p959,0
human1262|p1169,0
human1995|p317,0
human2023|p1461,0
human2042|p1111,0
human2418|p1824,0
human2423|p1473,0
human2750|p625,0
human2020|p61,0
human2437|p1074,0
human2155|p1135,0
human775|p570,0
human892|p1262,0
human1645|p1284,0
human1649|p1284,0
human1730|p1343,0
human647|p4364,0
human648|p3947,0
human649|p4160,0
human650|p2838,0
human651|p4991,0
human653|p4080,0
human654|p4005,0
human655|p4744,0
human729|p1812,0
human2554|p253,0
human846|p70,0
human2238|p305,0
human2416|p1755,0
human2903|p867,0
human2198|p800,0
human2522|p792,0
human2534|p849,0
human895|p1306,0
human813|p167,0
human829|p28,0
human870|p1377,0
human703|p1454,0
human732|p1091,0
human852|p996,0
human857|p1232,0
human860|p19,0
human888|p1195,0
human890|p939,0
human397|p2095,0
human490|p830,0
human621|p1123,0
human3528|p1752,0
human3529|p999,0
human3775|p107,0
human3776|p550,0
human3777|p1262,0
human3778|p724,0
human3774|p991,0
human696|p52,0
human1068|p862,0
human1069|p173,0
human3452|p986,0
human1094|p2268,0
human2769|p906,0
human1585|p2950,0
human1593|p3092,0
human214|p845,0
human459|p2461,0
human37|p1594,0
human526|p1350,0
human942|p1881,0
human942|p4183,0
human943|p1882,0
human979|p262,0
human982|p193,0
human3034|p464,0
human3173|p2206,0
human3176|p1998,0
human3177|p2003,0
human3221|p1284,0
human2230|p343,0
human2232|p343,0
human3259|p1572,0
human3263|p1661,0
human3264|p1662,0
human3333|p634,0
human3334|p1604,0
human3006|p2162,0
human3443|p1682,0
human473|p904,0
human614|p1960,0
human801|p1568,0
human3018|p325,0
human3042|p2348,0
human3236|p1539,0
human3237|p840,0
human3239|p840,0
human3354|p756,0
human3356|p756,0
human2204|p447,0
human2324|p247,0
human2326|p248,0
human2334|p2570,0
human2675|p741,0
human251|p1484,0
human1292|p202,0
human3233|p345,0
human735|p961,0
human750|p501,0
human3469|p993,0
human3470|p993,0
human805|p2432,0
human3284|p2165,0
human1752|p688,0
human1031|p1126,0
human770|p666,0
human2258|p1948,0
human2328|p1310,0
human3003|p2194,0
human3023|p2274,0
human3268|p1835,0
human3271|p1847,0
human3272|p1835,0
human1111|p87,0
human1119|p87,0
human493|p2052,0
human360|p1495,0
human618|p2095,0
human963|p481,0
human967|p481,0
human3061|p1268,0
human3042|p2834,0
human247|p1614,0
human693|p1637,0
human874|p1604,0
human1714|p516,0
human1908|p679,0
human2241|p559,0
human3557|p2122,0
human3558|p1668,0
human3559|p869,0
human3560|p740,0
human3561|p586,0
human1683|p2588,0
human1692|p1667,0
human3243|p1621,0
human2560|p260,0
human461|p1214,0
human76|p860,0
human276|p1135,0
human674|p340,0
human1504|p1569,0
human2651|p1103,0
human3553|p1691,0
human984|p995,0
human989|p995,0
human865|p1176,0
human869|p460,0
human3371|p46,0
human3556|p745,0
human1373|p948,0
human1656|p774,0
human2201|p400,0
human2397|p1109,0
human2631|p68,0
human2736|p1299,0
human3081|p1711,0
human3475|p1280,0
human3477|p1008,0
human68|p841,0
human1171|p1804,0
human1441|p1677,0
human2081|p1300,0
human2082|p1311,0
human2114|p1742,0
human2139|p1430,0
human2377|p966,0
human2989|p1103,0
human2993|p486,0
human1945|p1365,0
human3557|p764,0
human418|p512,0
human228|p1749,0
human3554|p1338,0
human987|p673,0
human644|p246,0
human1070|p860,0
human1641|p1755,0
human2587|p1538,0
human2988|p311,0
human2990|p644,0
human2991|p644,0
human3147|p292,0
human3289|p1587,0
human3375|p1125,0
human3381|p766,0
human3455|p578,0
human736|p1045,0
human749|p167,0
human777|p322,0
human1657|p804,0
human1724|p407,0
human751|p2291,0
human40|p137,0
human102|p1021,0
human223|p725,0
human284|p703,0
human468|p97,0
human543|p1777,0
human998|p1402,0
human2809|p1490,0
human3096|p1264,0
human3562|p1524,0
human2531|p306,0
human2748|p428,0
human2754|p917,0
human3419|p722,0
human3681|p462,0
human3682|p1239,0
human1811|p1773,0
human2688|p8,0
human290|p524,0
human864|p1953,0
human866|p1424,0
human3278|p914,0
human422|p287,0
human2751|p808,0
human2760|p2081,0
human2994|p236,0
human2158|p1763,0
human2163|p1763,0
human1177|p72,0
human1745|p1321,0
human1750|p229,0
human1934|p1516,0
human2339|p843,0
human2348|p844,0
human1190|p520,0
human2908|p1100,0
human2502|p1874,0
human2644|p422,0
human2110|p1675,0
human2975|p171,0
human717|p910,0
human1370|p1535,0
human2292|p1001,0
human3460|p1600,0
human3461|p1612,0
human186|p1224,0
human601|p982,0
human2313|p1269,0
human2525|p5124,0
human2799|p1263,0
human804|p995,0
human806|p1563,0
human2143|p64,0
human3191|p232,0
human3194|p234,0
human3196|p1051,0
human544|p4622,0
human3092|p4173,0
human3094|p4132,0
human3159|p3207,0
human344|p1742,0
human3328|p160,0
human3340|p321,0
human2734|p558,0
human2739|p556,0
human2743|p926,0
human2755|p776,0
human2767|p627,0
human2770|p625,0
human1072|p1306,0
human1739|p1053,0
human1924|p924,0
human1926|p1233,0
human1993|p619,0
human2660|p663,0
human2933|p1073,0
human1819|p60,0
human2073|p616,0
human2076|p617,0
human2636|p172,0
human2756|p71,0
human3286|p459,0
human3288|p459,0
human203|p4717,0
human1376|p2056,0
human3306|p462,0
human3307|p462,0
human1424|p1876,0
human1399|p2188,0
human1254|p2268,0
human1553|p2032,0
human1840|p2337,0
human1845|p2337,0
human1852|p2243,0
human1863|p2237,0
human1867|p2236,0
human1873|p2260,0
human1877|p2266,0
human1879|p2177,0
human89|p1720,0
human1676|p481,0
human1699|p806,0
human1624|p3092,0
human1625|p2764,0
human1626|p2819,0
human1269|p2526,0
human1273|p2441,0
human1281|p1002,0
human3555|p2854,0
human929|p2437,0
human3031|p2165,0
human2305|p2275,0
human2713|p1199,0
human166|p3128,0
human562|p2038,0
human631|p1128,0
human1363|p3083,0
human1365|p615,0
human1368|p615,0
human1496|p338,0
human3110|p310,0
human2669|p788,0
human3417|p1523,0
human2771|p1585,0
human9|p976,0
human477|p939,0
human878|p136,0
human133|p1790,0
human2311|p347,0
human2316|p347,0
human2806|p835,0
human70|p1080,0
human1138|p92,0
human1142|p441,0
human1144|p441,0
human349|p744,0
human3131|p3389,0
human1245|p442,0
human1252|p442,0
human1668|p376,0
human2921|p468,0
human2923|p466,0
human3145|p4185,0
human267|p231,0
human492|p770,0
human1969|p464,0
human1760|p561,0
human1764|p560,0
human977|p2982,0
human3073|p5575,0
human3076|p5122,0
human3077|p3576,0
human3112|p4031,0
human3166|p4285,0
human3167|p5077,0
human3393|p1129,0
human3395|p4071,0
human3396|p4071,0
human3422|p2876,0
human3434|p4437,0
human1025|p3139,0
human2999|p4056,0
human3002|p4193,0
human3219|p959,0
human3287|p3090,0
human3344|p896,0
human3382|p4048,0
human3384|p3962,0
human3405|p4179,0
human3411|p2629,0
human3430|p2090,0
human3010|p4027,0
human3011|p4027,0
human3048|p4116,0
human3100|p4469,0
human3103|p4209,0
human3113|p2788,0
human964|p2295,0
human965|p2298,0
human3062|p3101,0
human3178|p2520,0
human3195|p3491,0
human3390|p2332,0
human3462|p1739,0
human3242|p3506,0
human3246|p2669,0
human3420|p3811,0
human2733|p134,0
human2738|p134,0
human2759|p741,0
human2766|p741,0
human2774|p741,0
human3040|p2280,0
human3373|p1591,0
human1238|p715,0
human1248|p715,0
human1249|p714,0
human1999|p390,0
human2032|p157,0
human2913|p230,0
human11|p1397,0
human47|p283,0
human2925|p2243,0
human3150|p1773,0
human737|p314,0
human1822|p1400,0
human1203|p1969,0
human1213|p833,0
human3218|p102,0
human1040|p787,0
human3407|p987,0
human482|p1833,0
human1680|p1058,0
human1175|p854,0
human1954|p268,0
human2312|p1028,0
human2566|p990,0
human2567|p990,0
human2652|p1813,0
human2655|p1731,0
human2666|p1138,0
human288|p2167,0
human3092|p2778,0
human3094|p2779,0
human3159|p2252,0
human2818|p284,0
human1098|p607,0
human3164|p1696,0
human3168|p1371,0
human3171|p1372,0
human2029|p678,0
human3552|p669,0
human3515|p2551,0
human3414|p2014,0
human985|p2329,0
human993|p3738,0
human2491|p1214,0
human3047|p2367,0
human3088|p2287,0
human3122|p2327,0
human3184|p149,0
human3186|p149,0
human3262|p2332,0
human3269|p2245,0
human3312|p2437,0
human3394|p2411,0
human3048|p570,0
human3113|p2668,0
human2005|p1972,0
human2014|p1933,0
human2022|p1405,0
human931|p1136,0
human940|p1136,0
human3040|p1628,0
human3373|p5323,0
human139|p1607,0
human1581|p479,0
human3108|p2469,0
human3109|p2209,0
human3429|p2214,0
human789|p1896,0
human991|p729,0
human996|p605,0
human2005|p2353,0
human2014|p2263,0
human2022|p2505,0
human2568|p2341,0
human3135|p1768,0
human3323|p2038,0
human3325|p301,0
human3386|p670,0
human3449|p920,0
human3468|p388,0
human1749|p241,0
human2256|p986,0
human2444|p1919,0
human2445|p1865,0
human2904|p1586,0
human1793|p2017,0
human1805|p2017,0
human1818|p4919,0
human1046|p997,0
human2433|p1815,0
human2940|p2664,0
human2978|p2521,0
human3273|p499,0
human3290|p2124,0
human3424|p1065,0
human908|p680,0
human1482|p1347,0
human1487|p2204,0
human90|p711,0
human2180|p1894,0
human2262|p2375,0
human2287|p1184,0
human2070|p418,0
human2910|p872,0
human298|p1709,0
human1049|p493,0
human1057|p388,0
human1058|p2435,0
human1532|p784,0
human1538|p1021,0
human1556|p1024,0
human1570|p1022,0
human1583|p1391,0
human1600|p1315,0
human2066|p387,0
human2069|p227,0
human3091|p1395,0
human3114|p1324,0
human3127|p627,0
human3247|p745,0
human3428|p2724,0
human3445|p171,0
human3446|p171,0
human2406|p639,0
human2704|p1435,0
human3036|p4010,0
human992|p1266,0
human993|p1266,0
human994|p1266,0
human2124|p2459,0
human2130|p2410,0
human2141|p2389,0
human256|p2365,0
human2091|p1524,0
human2100|p1527,0
human3400|p3248,0
human420|p315,0
human27|p1684,0
human59|p1359,0
human82|p2203,0
human281|p808,0
human522|p1080,0
human523|p3075,0
human926|p936,0
human953|p183,0
human962|p2228,0
human1020|p2347,0
human1457|p904,0
human1661|p311,0
human3020|p705,0
human3021|p705,0
human3132|p1209,0
human3241|p1866,0
human3342|p1013,0
human3480|p1705,0
human706|p1900,0
human1200|p1800,0
human116|p1318,0
human944|p1838,0
human3035|p1676,0
human3697|p1858,0
human292|p1053,0
human345|p1063,0
human1242|p1188,0
human1286|p57,0
human1289|p57,0
human1733|p822,0
human2009|p638,0
human2917|p352,0
human286|p2195,0
human3517|p2345,0
human3429|p446,0
human743|p502,0
human747|p1980,0
human3051|p1730,0
human3052|p1729,0
human3694|p2182,0
human3695|p1872,0
human1847|p4733,0
human1337|p226,0
human1652|p1917,0
human1660|p1014,0
human1948|p2023,0
human2059|p1168,0
human2061|p1115,0
human213|p408,0
human435|p2252,0
human277|p1534,0
human2105|p1123,0
human1792|p1044,0
human2717|p848,0
human413|p1132,0
human976|p1922,0
human980|p1919,0
human3066|p1406,0
human3068|p1444,0
human3071|p1911,0
human3279|p1043,0
human3281|p1396,0
human90|p1450,0
human2940|p2435,0
human2952|p2305,0
human2959|p2269,0
human2978|p1899,0
human834|p1142,0
human837|p1130,0
human2384|p179,0
human3563|p11,0
human3564|p231,0
human3565|p1532,0
human1293|p2571,0
human1173|p208,0
human2287|p1189,0
human1923|p873,0
human2450|p1152,0
human3642|p1101,0
human1454|p180,0
human1467|p180,0
human1476|p180,0
human1491|p2856,0
human1500|p2793,0
human877|p77,0
human919|p1253,0
human3696|p453,0
human2007|p4013,0
human1900|p1876,0
human1907|p109,0
human2449|p213,0
human2683|p303,0
human2929|p1198,0
human2936|p1128,0
human2937|p1122,0
human2948|p994,0
human2965|p1061,0
human2967|p991,0
human2678|p1629,0
human2849|p500,0
human2884|p500,0
human2919|p2967,0
human1384|p2208,0
human2433|p1809,0
human1088|p1115,0
human1781|p709,0
human2640|p591,0
human2812|p93,0
human932|p92,0
human933|p92,0
human938|p92,0
human971|p627,0
human1633|p2459,0
human1653|p2312,0
human1655|p2335,0
human2115|p1185,0
human2117|p1121,0
human2132|p2843,0
human2135|p2675,0
human3017|p3738,0
human3029|p4252,0
human3032|p838,0
human3063|p619,0
human3124|p4156,0
human3353|p1039,0
human3355|p1031,0
human3387|p841,0
human3392|p2969,0
human3401|p2034,0
human3423|p2781,0
human2365|p556,0
human2407|p582,0
human3438|p1340,0
human3439|p1337,0
human2914|p272,0
human3676|p3721,0
human1622|p3255,0
human2539|p1821,0
human2541|p1820,0
human2544|p1755,0
human853|p1143,0
human862|p1289,0
human3274|p535,0
human1738|p2353,0
human1756|p187,0
human1762|p187,0
human587|p684,0
human24|p5012,0
human657|p2201,0
human671|p2190,0
human681|p87,0
human687|p3642,0
human689|p337,0
human955|p5316,0
human960|p5315,0
human1703|p3008,0
human3056|p5678,0
human3058|p5244,0
human2067|p2389,0
human2409|p1200,0
human2414|p1194,0
human2415|p1193,0
human2442|p1011,0
human2476|p1079,0
human711|p140,0
human2262|p2324,0
human1779|p487,0
human270|p3555,0
human318|p1539,0
human1836|p766,0
human1851|p641,0
human2484|p38,0
human2485|p38,0
human2488|p1011,0
human2488|p2212,0
human382|p461,0
human1405|p355,0
human968|p1890,0
human2157|p1977,0
human2160|p1977,0
human2161|p1903,0
human3065|p464,0
human3070|p3750,0
human701|p757,0
human19|p3131,0
human83|p1922,0
human1291|p1273,0
human1042|p206,0
human1703|p3003,0
human1848|p2634,0
human1958|p1052,0
human1964|p902,0
human1966|p1049,0
human1973|p620,0
human1976|p474,0
human2343|p454,0
human2350|p454,0
human2393|p733,0
human2404|p732,0
human406|p431,0
human28|p1456,0
human495|p1970,0
human983|p1760,0
human990|p1760,0
human3078|p2451,0
human3079|p2451,0
human3280|p3192,0
human3283|p3362,0
human3298|p3245,0
human3313|p2813,0
human3314|p2818,0
human3389|p3441,0
human1240|p338,0
human1666|p283,0
human1|p1041,0
human1053|p1073,0
human1056|p1071,0
human2338|p1057,0
human3199|p1864,0
human3444|p718,0
human2093|p1057,0
human2535|p1911,0
human2025|p586,0
human3093|p104,0
human1210|p1309,0
human2249|p1558,0
human1299|p835,0
human1302|p833,0
human3143|p4196,0
human3326|p4021,0
human3327|p4025,0
human3363|p320,0
human3364|p320,0
human3566|p1350,0
human3568|p107,0
human3569|p332,0
human1011|p2039,0
human2712|p435,0
human328|p313,0
human1379|p1207,0
human2178|p1747,0
human2183|p1747,0
human2188|p1745,0
human3639|p796,0
human1729|p489,0
human1735|p489,0
human2447|p505,0
human2469|p506,0
human2920|p402,0
human188|p4634,0
human1450|p1833,0
human3705|p1085,0
human2025|p1719,0
human199|p281,0
human219|p27,0
human691|p507,0
human1167|p1677,0
human1711|p1696,0
human1790|p1530,0
human2053|p2004,0
human3700|p514,0
human3701|p1681,0
human3702|p100,0
human3703|p1775,0
human243|p5781,0
human1231|p3240,0
human1233|p3132,0
human1255|p508,0
human1259|p508,0
human997|p700,0
human258|p268,0
human2318|p279,0
human3615|p1704,0
human3616|p1669,0
human3617|p910,0
human3618|p1073,0
human2174|p1870,0
human2184|p1817,0
human2196|p1816,0
human541|p3442,0
human625|p1575,0
human1443|p1096,0
human1453|p970,0
human1469|p192,0
human1475|p193,0
human1490|p908,0
human1502|p907,0
human2699|p773,0
human3256|p1189,0
human3350|p578,0
human86|p1155,0
human578|p322,0
human1330|p1181,0
human2839|p1065,0
human2607|p368,0
human18|p124,0
human1109|p1576,0
human1896|p5231,0
human1905|p4844,0
human2391|p544,0
human1531|p2163,0
human1542|p1654,0
human1568|p1654,0
human3421|p1585,0
human3425|p1584,0
human2285|p1806,0
human2613|p978,0
human2628|p978,0
human2630|p1108,0
human2632|p1108,0
human2633|p1108,0
human2634|p820,0
human2635|p820,0
human609|p2133,0
human262|p3149,0
human854|p4233,0
human1113|p3191,0
human1954|p319,0
human3640|p1142,0
human1369|p659,0
human2681|p2788,0
human2691|p2433,0
human2698|p2780,0
human1028|p1025,0
human2431|p1320,0
human2548|p1542,0
human2549|p1529,0
human2561|p495,0
human3345|p558,0
human1175|p177,0
human2312|p447,0
human2566|p209,0
human2567|p209,0
human2652|p328,0
human2655|p328,0
human2666|p161,0
human3634|p109,0
human3719|p1720,0
human366|p2011,0
human591|p3700,0
human760|p1070,0
human1808|p2003,0
human1928|p2011,0
human2146|p1979,0
human2336|p1197,0
human2438|p285,0
human1784|p1200,0
human1064|p2197,0
human1065|p531,0
human471|p278,0
human873|p1477,0
human1186|p305,0
human2726|p929,0
human149|p3986,0
human409|p2003,0
human465|p715,0
human1341|p22,0
human3641|p450,0
human2753|p1000,0
human2028|p420,0
human2057|p284,0
human2572|p1658,0
human2816|p1262,0
human1217|p1076,0
human227|p1315,0
human2319|p1058,0
human1121|p840,0
human1128|p841,0
human1333|p572,0
human1728|p362,0
human1920|p1286,0
human2783|p1053,0
human3635|p1402,0
human3636|p267,0
human1996|p3301,0
human2391|p2222,0
human1902|p346,0
human30|p1345,0
human92|p2145,0
human98|p4016,0
human248|p2864,0
human272|p3641,0
human488|p982,0
human496|p3229,0
human561|p3250,0
human571|p2639,0
human579|p1871,0
human3808|p889,0
human2615|p1618,0
human2623|p1382,0
human3631|p125,0
human3633|p483,0
human3587|p1141,0
human350|p841,0
human3143|p4187,0
human3326|p4030,0
human3327|p4034,0
human3363|p311,0
human3364|p311,0
human1407|p3959,0
human1433|p5735,0
human1933|p1006,0
human2086|p235,0
human2103|p235,0
human2661|p4270,0
human1237|p135,0
human1287|p1151,0
human2835|p528,0
human754|p3126,0
human758|p199,0
human784|p5970,0
human1236|p619,0
human1247|p620,0
human1410|p4983,0
human2010|p442,0
human2016|p442,0
human2915|p263,0
human1357|p946,0
human1985|p701,0
human2094|p383,0
human2213|p1150,0
human2614|p892,0
human3729|p393,0
human2706|p1353,0
human997|p919,0
human2805|p1610,0
human2037|p2291,0
human1131|p124,0
human1986|p1225,0
human177|p2956,0
human2781|p276,0
human2212|p49,0
human3699|p1143,0
human2285|p13,0
human2400|p635,0
human1458|p3820,0
human1477|p3591,0
human2473|p1179,0
human2477|p1179,0
human2480|p1179,0
human2559|p1019,0
human2562|p1018,0
human2803|p2745,0
human2811|p2707,0
human64|p206,0
human1950|p1064,0
human1835|p943,0
human1841|p878,0
human1859|p611,0
human1861|p610,0
human1866|p610,0
human1874|p1483,0
human1878|p1482,0
human1881|p1483,0
human2179|p1454,0
human2186|p1456,0
human2200|p1456,0
human81|p1231,0
human1889|p3776,0
human1917|p3683,0
human1321|p3418,0
human1332|p3417,0
human1339|p3315,0
human1582|p1572,0
human1996|p331,0
human3204|p809,0
human167|p841,0
human713|p3532,0
human714|p2629,0
human715|p4855,0
human716|p1858,0
human718|p4943,0
human240|p707,0
human3585|p1553,0
human3436|p1585,0
human728|p846,0
human3291|p683,0
human3300|p3149,0
human3301|p3149,0
human3302|p2932,0
human1176|p484,0
human1183|p485,0
human1192|p60,0
human1197|p60,0
human1725|p1654,0
human3339|p687,0
human3341|p688,0
human3209|p48,0
human304|p1375,0
human1155|p340,0
human1161|p340,0
human1783|p119,0
human2443|p613,0
human2814|p1297,0
human2822|p650,0
human220|p352,0
human3366|p254,0
human3379|p469,0
human3574|p1298,0
human3576|p1257,0
human3577|p1561,0
human3579|p1659,0
human3580|p1442,0
human3582|p608,0
human3583|p1036,0
human3584|p287,0
human3586|p812,0
human256|p2418,0
human3072|p1815,0
human17|p20,0
human1322|p851,0
human215|p1902,0
human233|p781,0
human257|p594,0
human265|p1200,0
human641|p2541,0
human1125|p1598,0
human1136|p2076,0
human3575|p713,0
human3578|p1591,0
human3742|p1471,0
human167|p1991,0
human1801|p597,0
human1804|p597,0
human1810|p510,0
human2845|p3940,0
human2872|p3939,0
human275|p1118,0
human291|p2943,0
human307|p4856,0
human355|p4957,0
human427|p4908,0
human430|p2427,0
human3784|p2261,0
human2864|p703,0
human2890|p703,0
human364|p995,0
human2259|p245,0
human2263|p2808,0
human3581|p1130,0
human1754|p959,0
human1763|p959,0
human1942|p278,0
human3743|p151,0
human1776|p2021,0
human2429|p2644,0
human2432|p2682,0
human2478|p2927,0
human2490|p2430,0
human2500|p2529,0
human2680|p2539,0
human2843|p1918,0
human2844|p1913,0
human826|p1207,0
human1027|p547,0
human1030|p547,0
human1033|p547,0
human1052|p1188,0
human1055|p1189,0
human1200|p2009,0
human1975|p288,0
human1992|p2476,0
human2002|p790,0
human2012|p790,0
human2015|p790,0
human2411|p3151,0
human3303|p1240,0
human3305|p296,0
human3308|p296,0
human3346|p1089,0
human1093|p2346,0
human881|p2316,0
human1038|p292,0
human1342|p952,0
human1350|p1286,0
human1352|p617,0
human2571|p725,0
human2909|p1255,0
human3227|p1607,0
human3335|p1025,0
human3408|p291,0
human793|p907,0
human1266|p1154,0
human1011|p4543,0
human2712|p460,0
human589|p838,0
human1643|p857,0
human1955|p250,0
human2083|p1480,0
human2237|p1224,0
human2419|p1709,0
human3492|p901,0
human3676|p2890,0
human917|p4262,0
human920|p4269,0
human999|p1969,0
human1000|p1968,0
human2479|p302,0
human3155|p1816,0
human3157|p1496,0
human3160|p2693,0
human3163|p2695,0
human3170|p898,0
human3435|p18,0
human3457|p3028,0
human3472|p2541,0
human3476|p789,0
human2330|p680,0
human2333|p677,0
human3458|p311,0
human3478|p2193,0
human3680|p1052,0
human2603|p4585,0
human511|p45,0
human250|p1929,0
human61|p3896,0
human3490|p687,0
human144|p28,0
human918|p4500,0
human1013|p1136,0
human1015|p1135,0
human3101|p3390,0
human3139|p2477,0
human3144|p697,0
human3146|p595,0
human3293|p1951,0
human3376|p2508,0
human3377|p2511,0
human3683|p2090,0
human3688|p2426,0
human3689|p1853,0
human3690|p924,0
human3691|p1600,0
human3692|p530,0
human3693|p845,0
human54|p2149,0
human79|p4,0
human85|p1576,0
human235|p572,0
human271|p697,0
human383|p319,0
human469|p20,0
human475|p1729,0
human572|p714,0
human620|p553,0
human927|p564,0
human928|p564,0
human3019|p561,0
human1399|p2509,0
human1424|p2702,0
human1953|p1314,0
human2547|p53,0
human2552|p2367,0
human2555|p415,0
human2558|p2749,0
human1887|p371,0
human1891|p372,0
human1895|p371,0
human1910|p1395,0
human1914|p1395,0
human1919|p1395,0
human879|p2475,0
human1320|p586,0
human1960|p4176,0
human2722|p831,0
human754|p2880,0
human758|p73,0
human1967|p12,0
human2836|p727,0
human3573|p818,0
human1665|p129,0
human630|p5049,0
human254|p698,0
human1059|p964,0
human1253|p3131,0
human1257|p2438,0
human1326|p1488,0
human2825|p1091,0
human2838|p1090,0
human2939|p1408,0
human2970|p1298,0
human2981|p1299,0
human2996|p1689,0
human2997|p1696,0
human1581|p107,0
human3486|p1522,0
human3487|p920,0
human855|p3415,0
human947|p102,0
human949|p101,0
human2072|p2980,0
human3125|p4020,0
human3685|p921,0
human3687|p3107,0
human3738|p981,0
human545|p1301,0
human585|p683,0
human699|p270,0
human3518|p705,0
human3519|p1672,0
human3520|p955,0
human3521|p348,0
human3522|p640,0
human1906|p638,0
human708|p451,0
human1816|p441,0
human1940|p650,0
human2307|p1043,0
human2321|p1040,0
human2322|p936,0
human2327|p936,0
human3717|p818,0
human3724|p233,0
human784|p3034,0
human3108|p793,0
human3109|p793,0
human3141|p1599,0
human2777|p643,0
human22|p1951,0
human780|p1748,0
human3530|p2211,0
human3760|p1990,0
human74|p4296,0
human437|p2599,0
human856|p575,0
human2203|p945,0
human341|p1558,0
human3101|p3395,0
human402|p112,0
human494|p2188,0
human3751|p2254,0
human3756|p1835,0
human358|p1109,0
human2085|p1118,0
human698|p2049,0
human1627|p794,0
human3739|p1288,0
human2266|p620,0
human2267|p452,0
human2273|p449,0
human1174|p929,0
human1193|p927,0
human516|p1158,0
human588|p1471,0
human3712|p1826,0
human3721|p354,0
human3722|p1285,0
human3725|p1094,0
human3726|p130,0
human3728|p814,0
human840|p1140,0
human2202|p2222,0
human3108|p974,0
human3109|p975,0
human3489|p439,0
human3491|p1202,0
human983|p1765,0
human990|p1765,0
human3078|p2446,0
human3079|p2446,0
human3280|p3187,0
human3283|p3357,0
