Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Source_batch	form	Quality
T2108173895_maxbin2_bins_bin.56	64.7	5.25	Neural Network (Specific Model)	11	0.882	3027	230.15101156069363	2163126	0.36	2768	853	17796	None	HSMG_12	HSMG	
T2108173895_metabat2_bins_bin.5	82.99	3.57	Neural Network (Specific Model)	11	0.911	6367	271.00590062111803	2867973	0.69	3220	585	30706	None	HSMG_12	HSMG	
T2108173896_metabat2_bins_bin.3	54.92	0	Neural Network (Specific Model)	11	0.853	117018	300.6444275966641	1392050	0.32	1319	17	516910	None	HSMG_12	HSMG	
T2108173898_concoct_bins_bin.10	96.08	9.29	Gradient Boost (General Model)	11	0.886	4446	262.14285714285717	2531522	0.56	2856	740	24235	None	HSMG_12	HSMG	
T2108173900_maxbin2_bins_bin.73	74.8	5.41	Neural Network (Specific Model)	11	0.861	4338	256.92687747035575	2711352	0.36	3036	824	25031	None	HSMG_12	HSMG	
T2108173902_maxbin2_bins_bin.14	67.57	5.43	Gradient Boost (General Model)	11	0.91	2360	234.5810623556582	1669486	0.65	2165	763	11234	None	HSMG_12	HSMG	
T2108173902_maxbin2_bins_bin.54	86.05	2.55	Neural Network (Specific Model)	11	0.894	25876	308.9601191840477	4515772	0.66	4363	322	82327	None	HSMG_12	HSMG	
T2108173902_metabat2_bins_bin.70	65.02	6.63	Neural Network (Specific Model)	11	0.892	4751	246.77794486215538	1652778	0.42	1995	391	30142	None	HSMG_12	HSMG	
T2108173904_maxbin2_bins_bin.2	55.91	1.37	Neural Network (Specific Model)	11	0.86	4271	241.97579529737206	1218209	0.31	1446	363	22233	None	HSMG_12	HSMG	
T2108173904_maxbin2_bins_bin.33	64.88	7.99	Gradient Boost (General Model)	11	0.779	5975	215.77035294117647	1761079	0.33	2125	496	149576	None	HSMG_12	HSMG	
T2108173904_metabat2_bins_bin.28	64.49	2.1	Neural Network (Specific Model)	11	0.871	4984	252.50778210116732	1339682	0.31	1542	323	22233	None	HSMG_12	HSMG	
T2108173905_metabat2_bins_bin.8	82.39	0.85	Gradient Boost (General Model)	11	0.877	16730	318.862660944206	2029329	0.68	1864	198	56525	None	HSMG_12	HSMG	
T2108173906_metabat2_bins_bin.26	78.99	0.47	Neural Network (Specific Model)	11	0.865	12051	268.56698240866035	1373372	0.32	1478	194	70239	None	HSMG_12	HSMG	
T2108173907_metabat2_bins_bin.37	50.85	0.02	Neural Network (Specific Model)	11	0.934	439652	343.37149028077755	1018695	0.56	926	8	504175	None	HSMG_12	HSMG	
T2108173909_metabat2_bins_bin.103	79.47	0.76	Neural Network (Specific Model)	11	0.918	5624	270.6229580573951	1998581	0.72	2265	455	22163	None	HSMG_12	HSMG	
T2108173910_maxbin2_bins_bin.25	100	4.93	Gradient Boost (General Model)	11	0.912	220767	321.09840175493576	3364241	0.66	3191	109	598808	None	HSMG_12	HSMG	HQ
T2108173910_metabat2_bins_bin.161	73.09	1.54	Neural Network (Specific Model)	11	0.906	12979	303.7002982107356	2019231	0.74	2012	223	60101	None	HSMG_12	HSMG	
T2108173910_metabat2_bins_bin.23	74.17	0.82	Neural Network (Specific Model)	11	0.925	11269	292.44823529411764	803972	0.35	850	110	32975	None	HSMG_12	HSMG	
T2108173912_concoct_bins_bin.17	89.7	1.63	Gradient Boost (General Model)	11	0.889	14429	296.09602928752463	3543297	0.63	3551	323	72464	None	HSMG_12	HSMG	
T2108173912_concoct_bins_bin.59	86	6.23	Gradient Boost (General Model)	11	0.918	11100	307.3274241203331	3730365	0.66	3723	455	76988	None	HSMG_12	HSMG	
T2108173915_metabat2_bins_bin.75	81.44	0.93	Neural Network (Specific Model)	11	0.828	31448	301.8196814562002	1920653	0.52	1758	96	75231	None	HSMG_12	HSMG	
T2108173918_metabat2_bins_bin.110	74.76	2.43	Gradient Boost (General Model)	11	0.921	5688	261.8688387635756	1017731	0.46	1197	206	18981	None	HSMG_12	HSMG	
T2108173918_metabat2_bins_bin.17	66.67	3.15	Neural Network (Specific Model)	11	0.885	5359	265.0264501160093	1933983	0.42	2155	412	19343	None	HSMG_12	HSMG	
T2108173919_concoct_bins_bin.18	96.03	2.6	Neural Network (Specific Model)	11	0.866	13989	309.3184248906174	2198779	0.64	2057	245	85762	None	HSMG_12	HSMG	HQ
T2108173920_concoct_bins_bin.115	90.26	4.61	Neural Network (Specific Model)	11	0.818	5660	278.6908908238446	3050462	0.42	2986	684	23654	None	HSMG_12	HSMG	HQ
T2108173920_metabat2_bins_bin.56	79.58	0.85	Gradient Boost (General Model)	11	0.896	29827	313.2238095238095	1319435	0.39	1260	69	85382	None	HSMG_12	HSMG	
T2108173921_metabat2_bins_bin.24	79.78	3.36	Neural Network (Specific Model)	11	0.863	8173	275.8547177260166	2424762	0.44	2533	369	53485	None	HSMG_12	HSMG	
T2108173922_maxbin2_bins_bin.93	58.15	5.2	Neural Network (Specific Model)	11	0.839	6033	238.46564102564102	1660131	0.29	1950	410	32650	None	HSMG_12	HSMG	
T2108173922_metabat2_bins_bin.122	58.46	1.27	Gradient Boost (General Model)	11	0.913	4140	261.21408128219804	1496089	0.36	1747	404	26422	None	HSMG_12	HSMG	
T2108173922_metabat2_bins_bin.18	70.76	2.62	Neural Network (Specific Model)	11	0.897	5028	263.67568922305765	1755997	0.37	1995	411	21270	None	HSMG_12	HSMG	
T2108173923_concoct_bins_bin.20	92.72	2.71	Neural Network (Specific Model)	11	0.832	8700	305.0345717234262	2130841	0.59	1938	374	43346	None	HSMG_12	HSMG	HQ
T2108173923_concoct_bins_bin.67	70.67	7.35	Neural Network (Specific Model)	11	0.903	2146	227.21989772198978	1620919	0.4	2151	793	12865	None	HSMG_12	HSMG	
T2108173924_metabat2_bins_bin.40	72.09	2.56	Neural Network (Specific Model)	11	0.911	6497	282.44686365992743	1791631	0.61	1929	332	31738	None	HSMG_12	HSMG	
T2108173925_metabat2_bins_bin.6	56.88	0.25	Neural Network (Specific Model)	11	0.872	26361	282.2288993923025	1436500	0.32	1481	74	97427	None	HSMG_12	HSMG	
T2108173926_metabat2_bins_bin.40	83.81	1.51	Neural Network (Specific Model)	11	0.899	14334	299.0670949321913	2791198	0.65	2802	298	76682	None	HSMG_12	HSMG	
T2108173927_metabat2_bins_bin.5	81.98	2.85	Neural Network (Specific Model)	11	0.912	11081	290.3164431197218	1917810	0.59	2013	237	51954	None	HSMG_12	HSMG	
T2108173928_metabat2_bins_bin.34	74.48	2.93	Gradient Boost (General Model)	11	0.866	20447	275.96710075394105	1391390	0.33	1459	146	100779	None	HSMG_12	HSMG	
T2108173930_concoct_bins_bin.85	61.39	3.67	Neural Network (Specific Model)	11	0.89	4227	262.5310254735467	1352437	0.39	1531	408	23195	None	HSMG_12	HSMG	
T2108173931_metabat2_bins_bin.21	59.51	2.47	Neural Network (Specific Model)	11	0.905	7941	290.0598748882931	1072902	0.6	1119	169	36756	None	HSMG_12	HSMG	
T2108173937_concoct_bins_bin.150	84.36	9.99	Neural Network (Specific Model)	11	0.855	3796	288.6870548806033	2414369	0.48	2387	771	20491	None	HSMG_12	HSMG	
T2108173937_concoct_bins_bin.83	97.71	7.06	Gradient Boost (General Model)	11	0.883	33824	328.58527131782944	4025534	0.65	3612	203	134684	None	HSMG_12	HSMG	
T2108173941_concoct_bins_bin.89	86.12	2.41	Gradient Boost (General Model)	11	0.898	8207	296.32971729125575	3006103	0.71	3042	511	41765	None	HSMG_12	HSMG	
T2108173941_maxbin2_bins_bin.1	61.53	0.8	Neural Network (Specific Model)	11	0.88	55213	341.2719178082192	1697136	0.7	1460	69	137547	None	HSMG_12	HSMG	
T2108173943_metabat2_bins_bin.40	88.42	2.94	Neural Network (Specific Model)	11	0.916	25070	299.1777950310559	2517781	0.68	2576	170	74989	None	HSMG_12	HSMG	
T2108173944_metabat2_bins_bin.64	51.92	3.9	Neural Network (Specific Model)	11	0.909	4556	250.39039665970773	1579232	0.63	1916	389	15342	None	HSMG_12	HSMG	
T2108173944_metabat2_bins_bin.80	82.44	1.38	Neural Network (Specific Model)	11	0.841	35777	296.06016597510376	2032962	0.32	1928	106	89363	None	HSMG_12	HSMG	
T2108173945_concoct_bins_bin.56	92.56	5.71	Gradient Boost (General Model)	11	0.916	15218	311.72072772508164	6547423	0.56	6431	617	65786	None	HSMG_12	HSMG	
T2108173946_metabat2_bins_bin.18	69.98	1.78	Neural Network (Specific Model)	11	0.883	4617	262.70821643286575	2223061	0.36	2495	580	47165	None	HSMG_12	HSMG	
T2108173948_concoct_bins_bin.30	100	8.54	Neural Network (Specific Model)	11	0.899	241254	325.34486921529174	2691158	0.6	2485	15	599433	None	HSMG_12	HSMG	
T2108173949_concoct_bins_bin.2	73.28	2.29	Neural Network (Specific Model)	11	0.893	4865	261.6988536155203	3980952	0.66	4536	1001	19870	None	HSMG_12	HSMG	
T2108173949_metabat2_bins_bin.25	75.22	0.53	Neural Network (Specific Model)	11	0.882	37390	295.16088060965285	2367966	0.68	2362	90	116194	None	HSMG_12	HSMG	
T2108173952_concoct_bins_bin.41	49.57	2.79	Neural Network (Specific Model)	11	0.865	1623	212.52416356877325	1384031	0.44	1883	855	6376	None	HSMG_12	HSMG	
T2108173953_metabat2_bins_bin.45	73.22	0.08	Neural Network (Specific Model)	11	0.884	66139	292.2641204948897	1837313	0.6	1859	51	116990	None	HSMG_12	HSMG	
T2108173956_concoct_bins_bin.48	84.49	4.61	Gradient Boost (General Model)	11	0.893	2505	225.18291139240506	3574689	0.64	4740	1596	15215	None	HSMG_12	HSMG	
T2108173956_metabat2_bins_bin.9	70.39	0.83	Neural Network (Specific Model)	11	0.909	29156	320.5894465894466	1640734	0.61	1554	96	135906	None	HSMG_12	HSMG	
T2108173958_concoct_bins_bin.0	55.61	7.17	Gradient Boost (General Model)	11	0.921	2008	231.70658682634732	879081	0.36	1169	445	10834	None	HSMG_12	HSMG	
T2108173958_metabat2_bins_bin.69	83.04	0.02	Neural Network (Specific Model)	11	0.835	90494	287.51440544787846	1970147	0.39	1909	78	232493	None	HSMG_12	HSMG	
T2108173960_concoct_bins_bin.122	67.19	5.61	Gradient Boost (General Model)	11	0.896	1353	217.54404432132964	1311328	0.56	1805	926	5289	None	HSMG_12	HSMG	
T2108173960_metabat2_bins_bin.45	76.64	3.4	Neural Network (Specific Model)	11	0.894	5916	266.08354114713217	1428015	0.31	1604	291	22726	None	HSMG_12	HSMG	
T2108173967_concoct_bins_bin.92	69.53	5.95	Gradient Boost (General Model)	11	0.925	2127	222.3602123356926	2846030	0.68	3956	1444	7010	None	HSMG_12	HSMG	
T2108173970_concoct_bins_bin.2	83.52	2.69	Gradient Boost (General Model)	11	0.914	4985	271.7745163442295	4001850	0.68	4497	979	29354	None	HSMG_12	HSMG	
T2108173971_concoct_bins_bin.87	85.1	4.44	Neural Network (Specific Model)	11	0.93	11277	270.33080110497235	1258426	0.29	1448	163	69947	None	HSMG_12	HSMG	
T2108173971_maxbin2_bins_bin.55	81.82	9.82	Gradient Boost (General Model)	11	0.925	11454	286.7213635401228	4384409	0.69	4723	899	54608	None	HSMG_12	HSMG	
T2108173971_metabat2_bins_bin.23	84.72	1.5	Neural Network (Specific Model)	11	0.871	23850	305.691914893617	3706697	0.62	3525	219	115700	None	HSMG_12	HSMG	
T2108173971_metabat2_bins_bin.47	69.31	0.22	Neural Network (Specific Model)	11	0.829	6779	268.9671641791045	1629397	0.52	1675	286	18138	None	HSMG_12	HSMG	
T2108173973_concoct_bins_bin.144	45.8	5.4	Gradient Boost (General Model)	11	0.899	1443	190.30025773195877	491217	0.45	776	332	4085	None	HSMG_12	HSMG	
